window,entry_thr,exit_ratio,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,stop_cnt,reduced_cnt,case_a,case_b,prop_Real,prop_Pseudo,prop_Both,prop_Neither,propagation_rate
24,0.001,0.2,1807,0.20918649695628114,-0.19768789556033642,-357.2220272775279,0.332659516735732,-357.4687770128239,296,1511,641,1166,399,1225,129,54,0.9701162147205312
3,0.0005,0.8,2291,0.189873417721519,-0.3503098510760662,-802.5598688152677,0.3296956341185354,-802.2588706115237,714,1576,371,1920,463,1542,212,73,0.9676996944565692
24,0.0005,1.0,4781,0.19682074879732273,-0.41901352006813847,-2003.30363944577,0.31942370809424286,-2009.9760735637863,2811,1962,1776,3005,1170,3197,244,162,0.9644425852332148
3,0.0005,0.5,2385,0.18448637316561844,-0.33837459427866734,-807.0234073546217,0.3178455731877895,-806.7224091508784,634,1750,416,1969,563,1514,236,71,0.969811320754717
24,0.001,0.1,2075,0.1816867469879518,-0.18946704694067124,-393.1441224018928,0.31466382440893814,-392.7746596993154,269,1806,778,1297,452,1404,180,39,0.9812048192771085
12,0.0005,1.0,4260,0.21173708920187792,-0.39771879231622664,-1694.2820552671255,0.3107652139820155,-1693.7300364554767,2193,2067,1373,2887,1009,2875,232,144,0.9661971830985916
6,0.0005,0.5,3708,0.19363538295577132,-0.3295638127939334,-1222.022617839905,0.3098574278486085,-1221.2665149844236,1135,2573,985,2723,898,2393,305,112,0.9697950377562028
24,0.0005,0.8,5018,0.19988043045037865,-0.4116946385021753,-2065.8836960039157,0.3096293933056744,-2072.604527967491,2736,2274,1891,3127,1236,3304,311,159,0.9667198086887206
3,0.0005,0.2,2522,0.1823949246629659,-0.33098354024737286,-834.7404885038744,0.3054721265517431,-834.4394903001311,576,1945,499,2023,708,1502,253,58,0.9766058683584457
6,0.003,0.1,36,0.25,-0.18079177343606173,-6.5085038436982225,0.2978971387247347,-6.112250258751542,8,28,4,32,8,25,2,1,0.9722222222222222
6,0.003,0.2,35,0.22857142857142856,-0.18636057143249732,-6.522620000137406,0.2971829098013846,-6.126366415190729,8,27,4,31,7,24,2,2,0.9428571428571428
12,0.0005,0.8,4500,0.20244444444444445,-0.3953236537633393,-1778.9564419350268,0.2909611009854051,-1778.4044231233788,2092,2408,1498,3002,1089,3005,274,132,0.9706666666666667
24,0.003,0.5,65,0.23076923076923078,-0.19322092221518222,-12.559359943986845,0.2908009969516425,-13.039788159899,17,48,4,61,11,50,4,0,1.0
3,0.0005,0.1,2585,0.17524177949709865,-0.33795362764958453,-873.610127474176,0.28844458657120664,-873.7690297308625,564,2020,539,2046,766,1492,252,74,0.9709864603481625
6,0.003,0.5,34,0.23529411764705882,-0.20410907041765944,-6.939708394200421,0.281304291580662,-6.452242504326396,8,26,4,30,7,25,2,0,1.0
24,0.0005,0.5,5768,0.18984049930651872,-0.40819268441833517,-2354.4554037249573,0.2740546069926732,-2355.28857452281,2740,3021,2235,3533,1537,3702,365,157,0.9715672676837726
12,0.0005,0.5,4997,0.18891334800880527,-0.38331806326390994,-1915.440362129758,0.2683410323855141,-1914.2122731013953,1981,3016,1749,3248,1312,3163,359,163,0.9673804282569541
6,0.0005,0.2,4136,0.17432301740812378,-0.33303620641139997,-1377.4377497175503,0.2678810415904649,-1376.6816468620696,1025,3111,1198,2938,1126,2526,364,120,0.9709864603481625
6,0.0005,0.1,4335,0.1607843137254902,-0.34212167899780827,-1483.0974784554987,0.24333121822671014,-1482.341375600016,1010,3325,1311,3024,1224,2583,400,128,0.970472895040369
12,0.0005,0.2,5847,0.16880451513596717,-0.3710912623311773,-2169.7706108503935,0.23637870093532415,-2169.61489746134,1796,4051,2178,3669,1563,3601,514,169,0.9710962886950573
24,0.0005,0.2,6871,0.16533255712414496,-0.4068191627617277,-2795.254467335831,0.2289976654649315,-2796.2206644418156,2657,4206,2788,4083,1830,4338,511,184,0.9720564692184543
12,0.0005,0.1,6241,0.15798750200288417,-0.378524407083869,-2362.370824610426,0.20819408342018006,-2362.215111221368,1758,4483,2373,3868,1722,3777,544,198,0.9682743150136196
24,0.0005,0.1,7465,0.15565974547890155,-0.40641161095741907,-3033.8626757971333,0.20359808787461406,-3034.828872903124,2569,4887,3133,4332,2050,4623,593,190,0.9733422638981916
