window,entry_thr,exit_ratio,trades,win_rate,pf,total_pnl,propagation_rate,cost_model
12,0.0015,0.1,282,0.24113475177304963,0.7205134968508952,-17.397931580479906,0.9822695035460993,Old (0.02% fixed)
6,0.002,0.2,80,0.325,0.7181416236838939,-4.885508231870506,0.9875,Old (0.02% fixed)
12,0.002,0.5,122,0.27049180327868855,0.7099106453550939,-8.762106477157332,0.9672131147540983,Old (0.02% fixed)
24,0.003,0.1,73,0.3150684931506849,0.70260534924544,-3.216196291328373,0.9863013698630136,Old (0.02% fixed)
12,0.0015,0.2,270,0.24444444444444444,0.6998948396555883,-19.445557566795742,0.9814814814814815,Old (0.02% fixed)
3,0.002,0.5,44,0.36363636363636365,0.6719211958521886,-4.06128587265489,0.9772727272727273,Old (0.02% fixed)
12,0.003,0.2,49,0.30612244897959184,0.6574013176330198,-3.8891748898948575,1.0,Old (0.02% fixed)
24,0.003,0.2,69,0.30434782608695654,0.6558571988205893,-3.8945739277168596,0.9855072463768116,Old (0.02% fixed)
6,0.001,1.0,457,0.24726477024070023,0.6385697788439485,-57.01656711046921,0.9803063457330415,Old (0.02% fixed)
12,0.002,0.8,121,0.256198347107438,0.6325169208830411,-11.438808018438412,0.9917355371900827,Old (0.02% fixed)
6,0.001,0.5,476,0.24789915966386555,0.6323697758338069,-54.07782259291088,0.9684873949579832,Old (0.02% fixed)
12,0.0015,0.5,249,0.26907630522088355,0.6317463139386362,-24.884077650436616,0.9799196787148594,Old (0.02% fixed)
12,0.003,0.5,49,0.3469387755102041,0.6297543788532078,-4.386402689610659,0.9795918367346939,Old (0.02% fixed)
3,0.003,0.5,18,0.2777777777777778,0.6272934382782731,-1.8258848939377939,0.9444444444444444,Old (0.02% fixed)
6,0.001,0.8,464,0.2650862068965517,0.625103926562241,-56.68966398494684,0.9719827586206896,Old (0.02% fixed)
12,0.002,1.0,120,0.25,0.6225668922894317,-12.059607778929394,0.975,Old (0.02% fixed)
12,0.0015,0.8,247,0.2834008097165992,0.6225000247940605,-26.642978787373057,0.9838056680161943,Old (0.02% fixed)
6,0.003,0.8,30,0.36666666666666664,0.6074191382009334,-2.995171926601259,1.0,Old (0.02% fixed)
3,0.002,0.8,44,0.36363636363636365,0.5927307746223671,-5.331731760010866,1.0,Old (0.02% fixed)
3,0.002,1.0,44,0.3409090909090909,0.576527682066567,-5.529754983578966,0.9772727272727273,Old (0.02% fixed)
12,0.0015,1.0,244,0.27049180327868855,0.5640064779359192,-33.13598043313456,0.9795081967213115,Old (0.02% fixed)
6,0.001,0.2,512,0.212890625,0.557471817457379,-66.39091553812054,0.962890625,Old (0.02% fixed)
3,0.003,0.1,18,0.3333333333333333,0.5499676400497037,-1.9895820484810978,1.0,Old (0.02% fixed)
6,0.001,0.1,525,0.21142857142857144,0.5497293186805644,-67.06239970961475,0.9657142857142857,Old (0.02% fixed)
24,0.002,0.1,214,0.2102803738317757,0.5373028099045668,-21.30597069466647,0.9953271028037384,Old (0.02% fixed)
12,0.003,0.8,49,0.30612244897959184,0.5326731978118029,-5.722754917849238,1.0,Old (0.02% fixed)
12,0.003,0.1,54,0.25925925925925924,0.532272597736848,-5.382085199978164,0.9814814814814815,Old (0.02% fixed)
24,0.002,0.2,191,0.225130890052356,0.5274981308648741,-22.124186076602996,1.0,Old (0.02% fixed)
3,0.003,0.2,18,0.2777777777777778,0.5042088606244397,-2.317082704240766,1.0,Old (0.02% fixed)
24,0.0015,1.0,342,0.25146198830409355,0.49311130449996815,-67.22628573033852,0.9883040935672515,Old (0.02% fixed)
12,0.003,1.0,49,0.2653061224489796,0.487814623081992,-6.356587422983894,0.9795918367346939,Old (0.02% fixed)
24,0.0015,0.8,347,0.25936599423631124,0.48089746965440133,-66.24438356468595,0.9711815561959655,Old (0.02% fixed)
12,0.001,0.5,771,0.2438391699092088,0.4653088837253301,-133.72600198745346,0.9766536964980544,Old (0.02% fixed)
12,0.001,0.8,737,0.24423337856173677,0.46060035662950094,-142.28841235654733,0.9782903663500678,Old (0.02% fixed)
