pair,case_type,direction,entry_time,exit_time,exit_reason,propagation,pnl_pct
CHFJPY,B,LONG,2023-05-03 20:25:00,2023-05-03 20:45:00,spread_reduced,Pseudo,-0.36918432242819915
USDJPY,B,SHORT,2023-05-03 20:50:00,2023-05-03 21:45:00,spread_reduced,Neither,0.48751771550681333
NZDJPY,B,SHORT,2023-05-03 20:50:00,2023-05-03 21:45:00,spread_reduced,Real,0.5138030010808741
CHFJPY,B,SHORT,2023-05-03 20:50:00,2023-05-03 21:55:00,spread_reduced,Pseudo,0.3013401476901582
USDJPY,B,SHORT,2023-05-03 22:10:00,2023-05-03 22:40:00,spread_reduced,Pseudo,-0.008163255758105356
NZDJPY,B,SHORT,2023-05-03 22:10:00,2023-05-03 22:40:00,spread_reduced,Pseudo,-0.18556555883305256
CHFJPY,B,SHORT,2023-05-03 22:10:00,2023-05-03 22:40:00,spread_reduced,Pseudo,-0.2445456705877369
USDJPY,B,LONG,2023-05-04 01:30:00,2023-05-04 02:00:00,spread_reduced,Pseudo,-0.13324321279362117
NZDJPY,B,LONG,2023-05-04 01:30:00,2023-05-04 02:00:00,spread_reduced,Both,-0.35328134957638796
CHFJPY,B,LONG,2023-05-04 01:30:00,2023-05-04 02:00:00,spread_reduced,Pseudo,-0.24735660333604267
NZDJPY,B,SHORT,2023-05-04 06:30:00,2023-05-04 06:55:00,stop,Pseudo,-0.5351527730005727
USDJPY,B,SHORT,2023-05-04 06:25:00,2023-05-04 07:00:00,spread_reduced,Pseudo,-0.44499322575360567
CHFJPY,B,SHORT,2023-05-04 06:25:00,2023-05-04 07:00:00,spread_reduced,Pseudo,0.20774103261193372
USDJPY,B,LONG,2023-05-04 07:05:00,2023-05-04 07:50:00,spread_reduced,Pseudo,0.20114294191538504
NZDJPY,B,LONG,2023-05-04 07:05:00,2023-05-04 07:50:00,spread_reduced,Pseudo,0.14270071943078833
CHFJPY,B,LONG,2023-05-04 07:05:00,2023-05-04 07:50:00,spread_reduced,Pseudo,-0.3224329803791874
USDJPY,B,LONG,2023-05-04 10:35:00,2023-05-04 10:45:00,spread_reduced,Pseudo,-0.2965645290883649
NZDJPY,B,LONG,2023-05-04 10:35:00,2023-05-04 10:45:00,spread_reduced,Pseudo,-0.29331615863803506
CHFJPY,B,LONG,2023-05-04 10:35:00,2023-05-04 10:45:00,spread_reduced,Pseudo,-0.02773372879035415
USDJPY,B,LONG,2023-05-04 12:45:00,2023-05-04 13:35:00,stop,Pseudo,-0.5685656927785961
NZDJPY,B,LONG,2023-05-04 12:45:00,2023-05-04 13:35:00,spread_reduced,Pseudo,-0.4624047166959337
CHFJPY,B,LONG,2023-05-04 12:45:00,2023-05-04 13:35:00,spread_reduced,Pseudo,-0.23202263231828874
USDJPY,B,SHORT,2023-05-04 13:35:00,2023-05-04 15:05:00,spread_reduced,Pseudo,1.0538650821952933
NZDJPY,B,SHORT,2023-05-04 13:35:00,2023-05-04 15:05:00,spread_reduced,Pseudo,0.9511663678295109
CHFJPY,B,SHORT,2023-05-04 13:35:00,2023-05-04 15:05:00,spread_reduced,Both,1.0746605847729018
USDJPY,B,SHORT,2023-05-04 16:10:00,2023-05-04 16:15:00,spread_reduced,Pseudo,-0.44137140896616245
NZDJPY,B,SHORT,2023-05-04 16:10:00,2023-05-04 16:15:00,spread_reduced,Pseudo,-0.30566332060281515
CHFJPY,B,SHORT,2023-05-04 16:10:00,2023-05-04 16:15:00,spread_reduced,Pseudo,-0.27414018609269364
USDJPY,B,LONG,2023-05-04 17:05:00,2023-05-04 17:50:00,spread_reduced,Real,0.14489372705717152
NZDJPY,B,LONG,2023-05-04 17:05:00,2023-05-04 17:50:00,spread_reduced,Real,0.3221902177418616
CHFJPY,B,LONG,2023-05-04 17:05:00,2023-05-04 17:50:00,spread_reduced,Neither,0.1253361788351448
NZDJPY,B,LONG,2023-05-04 20:30:00,2023-05-04 21:00:00,spread_reduced,Neither,-0.1859275850340699
USDJPY,B,LONG,2023-05-04 20:30:00,2023-05-04 21:05:00,spread_reduced,Pseudo,-0.2252807292515054
CHFJPY,B,LONG,2023-05-04 20:30:00,2023-05-04 21:05:00,spread_reduced,Pseudo,-0.36286459160602325
USDJPY,B,SHORT,2023-05-05 08:00:00,2023-05-05 08:30:00,spread_reduced,Pseudo,-0.1972770348580196
NZDJPY,B,SHORT,2023-05-05 08:00:00,2023-05-05 08:30:00,spread_reduced,Pseudo,-0.25522832031432685
CHFJPY,B,SHORT,2023-05-05 08:00:00,2023-05-05 08:30:00,spread_reduced,Real,0.5818356938167198
USDJPY,B,LONG,2023-05-05 12:30:00,2023-05-05 13:05:00,spread_reduced,Pseudo,0.059860655624651336
NZDJPY,B,LONG,2023-05-05 12:30:00,2023-05-05 13:05:00,spread_reduced,Pseudo,-0.3114162708260186
CHFJPY,B,LONG,2023-05-05 12:30:00,2023-05-05 13:05:00,spread_reduced,Pseudo,0.2057771186603219
