label,n,μ(%),Skew,Kurt,VaR95(%),CVaR95(%),P(r>σ)%,P(r<-σ)%,TailRatio,OmegaRatio,Strategy,score_short,score_long,pair,base,quote,session,group
Q10+ac<0,2076,-0.0032,1.3696,13.118,-0.26103,-0.37357,9.49,10.26,0.9328,0.9466,▼SHORT（強）,3,1,AUDJPY,AUD,JPY,"NY
21-03JST",Q10+ac<0
全BreakDown,18991,0.00204,-1.5693,54.589,-0.12453,-0.24114,7.7,7.07,1.0021,1.0726,▲LONG（強）,1,3,AUDJPY,AUD,JPY,"深夜
03-09JST",全BreakDown
Q25,3932,0.00364,-1.5955,27.966,-0.17959,-0.32877,7.88,8.34,0.8966,1.0968,▽short（中）,2,2,AUDJPY,AUD,JPY,"深夜
03-09JST",Q25
Q10,1216,0.00063,-1.3341,17.606,-0.24553,-0.41764,8.55,9.46,0.8413,1.0125,▽short（中）,2,2,AUDJPY,AUD,JPY,"深夜
03-09JST",Q10
Q10+ac>0,496,0.00778,0.269,6.557,-0.23754,-0.3691,9.68,11.49,0.9906,1.155,▲LONG（強）,1,3,AUDJPY,AUD,JPY,"深夜
03-09JST",Q10+ac>0
Q10+ac<0,720,-0.00429,-2.4417,24.951,-0.25077,-0.45115,7.78,8.06,0.7704,0.9152,▼SHORT（強）,4,0,AUDJPY,AUD,JPY,"深夜
03-09JST",Q10+ac<0
全BreakDown,20109,0.00204,-0.3845,41.041,-0.1667,-0.279,8.82,8.49,0.9803,1.053,▽short（中）,2,2,NZDJPY,NZD,JPY,"東京
09-15JST",全BreakDown
Q25,6558,0.00376,-0.3191,43.834,-0.1913,-0.30939,8.63,8.55,0.9843,1.0864,▽short（中）,2,2,NZDJPY,NZD,JPY,"東京
09-15JST",Q25
Q10,2600,0.00395,-1.1067,27.887,-0.22153,-0.37047,9.19,9.08,1.045,1.0768,▲LONG（強）,1,3,NZDJPY,NZD,JPY,"東京
09-15JST",Q10
Q10+ac>0,994,0.01362,0.7979,22.452,-0.22355,-0.34014,10.26,8.25,1.0622,1.2883,▲LONG（強）,0,4,NZDJPY,NZD,JPY,"東京
09-15JST",Q10+ac>0
Q10+ac<0,1606,-0.00203,-2.2348,30.797,-0.21697,-0.38729,8.47,9.59,1.0208,0.9625,▼SHORT（強）,3,1,NZDJPY,NZD,JPY,"東京
09-15JST",Q10+ac<0
全BreakDown,20470,0.00276,1.6946,70.959,-0.16534,-0.25802,10.24,9.91,0.9766,1.0738,▲LONG（強）,1,3,NZDJPY,NZD,JPY,"欧州
15-21JST",全BreakDown
Q25,6619,0.00158,0.0544,12.389,-0.18907,-0.29406,11.04,11.45,0.9522,1.0366,△long（中）,1,2,NZDJPY,NZD,JPY,"欧州
15-21JST",Q25
Q10,2804,0.00067,0.1163,12.429,-0.23022,-0.36014,10.73,11.48,0.8764,1.0127,△long（中）,1,2,NZDJPY,NZD,JPY,"欧州
15-21JST",Q10
Q10+ac>0,1096,-0.00843,-0.5016,2.333,-0.25202,-0.36915,10.49,13.05,0.804,0.8503,▼SHORT（強）,4,0,NZDJPY,NZD,JPY,"欧州
15-21JST",Q10+ac>0
Q10+ac<0,1708,0.0065,0.3905,16.555,-0.21226,-0.35156,10.77,10.3,0.9484,1.1298,▲LONG（強）,1,3,NZDJPY,NZD,JPY,"欧州
15-21JST",Q10+ac<0
全BreakDown,20301,0.00126,-0.2779,12.898,-0.17639,-0.27817,10.43,10.51,0.9823,1.0318,▽short（中）,2,2,NZDJPY,NZD,JPY,"NY
21-03JST",全BreakDown
