pair,base,quote,session,horizon,n,mean,skew,exkurt,lefttail,downrate,tstat,pval,judge
GBPUSD,GBP,USD,深夜 03-09,12,18743,0.0016167145630442729,-0.11176624167604673,72.05982127554866,1.0318232098855367,46.267940030944885,2.5859059902707533,0.009719813937527138,△long（弱）
GBPUSD,GBP,USD,深夜 03-09,24,18739,0.0019998303131997784,0.5328334495183208,53.801706585432996,1.0636381052319075,46.78478040450398,2.326469534017331,0.02000412344954144,▲LONG
AUDUSD,AUD,USD,東京 09-15,6,20001,0.0012153454780816498,0.590684548776765,27.477772060956255,1.0094874800975036,48.602569871506425,1.6694144530952781,0.09505092162769814,▲LONG
AUDUSD,AUD,USD,東京 09-15,12,20001,0.0030526807703814317,0.3089918936396435,15.941389847827214,0.9938921068255526,47.997600119994,2.9691359805951425,0.0029899258704062666,▲LONG
AUDUSD,AUD,USD,東京 09-15,24,20001,0.004091489177392445,-0.030925127156288867,10.497433352940076,1.0199390229113436,47.75261236938153,2.8504685292097367,0.004369951374653881,△long（弱）
AUDUSD,AUD,USD,欧州 15-21,6,20406,-0.0007411894336144392,-14.848289709753475,621.0405838126973,1.0438229000608217,48.66215818876801,-0.8821313781788915,0.3777161566872419,─
AUDUSD,AUD,USD,欧州 15-21,12,20406,-0.002813490904249844,-6.95370080253733,209.14786861859795,1.04914594675611,50.00490051945506,-2.4483387846902986,0.014360022888349493,─
AUDUSD,AUD,USD,欧州 15-21,24,20406,-0.006638381541059842,-3.6719690563760845,77.50685072123974,1.0519520308464612,50.205821817112614,-3.9858539251703924,6.747171468725474e-05,─
AUDUSD,AUD,USD,NY   21-03,6,20555,-0.0005250498770022463,0.4608044408584067,15.525826455337317,1.0311238671624512,50.06567745074191,-0.5416610968141015,0.588057865647311,─
AUDUSD,AUD,USD,NY   21-03,12,20555,-0.0018275824234695141,0.28870336356761056,9.129042451890788,1.0407599125162188,49.934322549258084,-1.394085054195026,0.16330699170511742,─
AUDUSD,AUD,USD,NY   21-03,24,20555,-0.005290210141364145,0.4473146516373656,7.343899568103183,1.057030246079383,50.83921187059109,-2.9497543195224565,0.003183850593772222,─
AUDUSD,AUD,USD,深夜 03-09,6,18736,0.0010248103601935385,-0.25839588278986386,83.44440786132787,1.0396420893259797,46.375960717335616,1.5525786987133903,0.12054070907198774,△long（弱）
AUDUSD,AUD,USD,深夜 03-09,12,18732,9.002428440591743e-05,-0.8300473889998404,49.51146930947365,1.063887637637739,46.82895579756566,0.09426116605859002,0.9249027057481332,△long（弱）
AUDUSD,AUD,USD,深夜 03-09,24,18726,0.00253481396070601,-0.14041643545603472,24.31213644969188,1.0886651914257344,46.31528356296059,1.8905600688957285,0.05869852039612728,△long（弱）
NZDUSD,NZD,USD,東京 09-15,6,20019,0.0003701735602985808,0.7148058030869646,21.433250979893263,1.0265014913270896,49.60787252110495,0.5310465901480387,0.5953923858176392,─
NZDUSD,NZD,USD,東京 09-15,12,20019,0.001503768439791177,0.31441229947721944,10.679672602887889,0.9905307328011688,49.59788201208852,1.5519966489909018,0.12067883401830012,─
NZDUSD,NZD,USD,東京 09-15,24,20019,0.0008638095437044304,-0.6487262169776139,13.330781083277142,1.0066955078866844,49.263199960037966,0.6234589027323396,0.5329901043161777,─
NZDUSD,NZD,USD,欧州 15-21,6,20464,-0.0007777901362530508,-3.5390017719626163,78.50224602859404,1.0219174110815052,48.90539483971853,-1.0474431616411979,0.29490760530883015,─
NZDUSD,NZD,USD,欧州 15-21,12,20464,-0.0028502825041149048,-2.1963564203276364,33.33221657168157,1.038972550468556,49.9120406567631,-2.5818714378168277,0.00983350429789411,─
NZDUSD,NZD,USD,欧州 15-21,24,20464,-0.00451271028596508,-0.9869315797867729,13.659498383012625,1.0356988352975536,50.07329945269742,-2.814904900820487,0.00488382728106774,─
NZDUSD,NZD,USD,NY   21-03,6,20548,0.0003005793216898774,0.23217166429559946,15.005070020174415,1.0018584426474975,49.71286743235351,0.31706459308152846,0.7511978118767324,─
NZDUSD,NZD,USD,NY   21-03,12,20548,-0.00013262729831448468,0.2106582912409206,9.768932480936567,0.9975528564939196,49.78586723768736,-0.1026928946505572,0.9182077152337347,─
NZDUSD,NZD,USD,NY   21-03,24,20548,-0.001819759215796036,0.1662571410815161,6.621455412513287,1.0221090369045611,50.3941989488028,-1.0488458159535339,0.2942614234784211,─
