signal_dt,entry_dt,exit_dt,session,direction,filter,entry_price,exit_price,sl_price,lot_size,held_bars,exit_reason,pnl_pips,pnl_yen,r_mult,atr_val,eur_jpy_diff,ac_val,period
2023-05-31 15:35:00,2023-05-31 15:40:00,2023-05-31 16:20:00,NY   21-03JST,LONG,Q10+ac<0,148.8975,148.84714,148.78314,4.37,8,stop,-5.04,-2202.0,-0.44,0.11436,-0.006024,-0.2483,IS
2023-05-31 16:00:00,2023-05-31 16:05:00,2023-05-31 16:20:00,NY   21-03JST,LONG,Q10+ac<0,148.9175,148.84868,148.82468,5.39,3,stop,-6.88,-3707.0,-0.741,0.09282,-0.007332,-0.4399,IS
2023-05-31 16:05:00,2023-05-31 16:10:00,2023-05-31 16:20:00,NY   21-03JST,LONG,Q10+ac<0,148.895,148.85786,148.81136,5.98,2,stop,-3.71,-2220.0,-0.444,0.08364,-0.006669,-0.4293,IS
2023-05-31 16:10:00,2023-05-31 16:15:00,2023-05-31 16:25:00,NY   21-03JST,LONG,Q10+ac<0,148.902,148.83593,148.81843,5.98,2,stop,-6.61,-3953.0,-0.791,0.08357,-0.00632,-0.4184,IS
2023-05-31 16:25:00,2023-05-31 16:30:00,2023-05-31 16:35:00,NY   21-03JST,LONG,Q10+ac<0,148.832,148.74739,148.74989,6.09,1,stop,-8.46,-5152.0,-1.03,0.08211,-0.004863,-0.6846,IS
2023-05-31 16:30:00,2023-05-31 16:35:00,2023-05-31 16:50:00,NY   21-03JST,LONG,Q10+ac<0,148.7215,148.64214,148.63664,5.89,3,stop,-7.94,-4676.0,-0.935,0.08486,-0.004989,-0.3136,IS
2023-06-01 14:20:00,2023-06-01 14:25:00,2023-06-01 15:00:00,NY   21-03JST,LONG,Q10+ac<0,148.906,149.08771,148.78621,4.17,7,stop,18.17,7585.0,1.517,0.11979,-0.004947,-0.4899,IS
2023-06-28 15:55:00,2023-06-28 16:00:00,2023-06-28 16:40:00,NY   21-03JST,LONG,Q10+ac<0,157.2585,157.37971,157.16921,5.6,8,stop,12.12,6788.0,1.358,0.08929,-0.00498,-0.1097,IS
2023-07-07 06:55:00,2023-07-07 07:00:00,2023-07-07 07:05:00,欧州 15-21JST,SHORT,Q10+ac>0,156.0605,156.16714,156.16464,4.8,1,stop,-10.66,-5120.0,-1.024,0.10414,-0.004866,0.2873,IS
2023-07-07 08:35:00,2023-07-07 08:40:00,2023-07-07 08:50:00,欧州 15-21JST,SHORT,Q10+ac>0,155.6265,155.54714,155.73414,4.64,2,stop,7.94,3686.0,0.737,0.10764,-0.005245,0.2011,IS
2023-07-07 08:40:00,2023-07-07 08:45:00,2023-07-07 08:55:00,欧州 15-21JST,SHORT,Q10+ac>0,155.5295,155.58507,155.63357,4.8,2,stop,-5.56,-2670.0,-0.534,0.10407,-0.006317,0.228,IS
2023-07-07 08:45:00,2023-07-07 08:50:00,2023-07-07 08:55:00,欧州 15-21JST,SHORT,Q10+ac>0,155.4765,155.58429,155.58179,4.75,1,stop,-10.78,-5119.0,-1.024,0.10529,-0.005556,0.2635,IS
