leader,follower,lag,state,trades,win_rate,pf,total_pnl,max_dd,ev_bp
AUDJPY,USDJPY,4,TREND,1944,0.13425925925925927,0.1092919231724235,-74.66412807611849,-74.63063737682653,-3.840747329018441
AUDJPY,USDJPY,4,MR,17196,0.08833449639451035,0.06319696865436493,-677.5593380609877,-677.5310502279907,-3.9402148061234454
AUDJPY,USDJPY,4,NO_TRADE,113675,0.08679129096107324,0.06152451215218277,-4525.649582001331,-4525.6123897404395,-3.981218018035039
AUDJPY,USDJPY,9,TREND,1944,0.13065843621399176,0.09605815404124839,-75.79507187662489,-75.74118696516223,-3.898923450443667
AUDJPY,USDJPY,9,MR,17195,0.08415236987496365,0.0597582460417872,-693.2780870601194,-693.2497991763181,-4.031858604595053
AUDJPY,USDJPY,9,NO_TRADE,113671,0.086099356916012,0.06195732550659247,-4528.17314963051,-4528.133583389866,-3.983578177046485
AUDJPY,EURJPY,3,TREND,1760,0.12556818181818183,0.10310235878256761,-69.93996727004502,-69.9038470436219,-3.9738617767071034
AUDJPY,EURJPY,3,MR,18574,0.09405620760202434,0.06287043056432258,-740.8375614354055,-740.836580892595,-3.9885730668429282
AUDJPY,EURJPY,3,NO_TRADE,112561,0.08988903794387043,0.061195917489117076,-4522.269393700958,-4522.249653523712,-4.017616575635396
AUDJPY,EURJPY,8,TREND,1760,0.12215909090909091,0.08633803232912607,-73.21932503728715,-73.23385947553663,-4.160188922573133
AUDJPY,EURJPY,8,MR,18570,0.09138395261173936,0.059610448744906695,-738.476229856901,-738.4025550323178,-3.9767163697194454
AUDJPY,EURJPY,8,NO_TRADE,112560,0.0904406538734897,0.06072194780132984,-4524.119234912657,-4524.107868782723,-4.019295695551401
AUDJPY,EURJPY,9,TREND,1760,0.1380681818181818,0.11022038295298572,-68.49684809513967,-68.46849586654595,-3.8918663690420265
AUDJPY,EURJPY,9,MR,18569,0.09004254402498789,0.05936005543742805,-741.0943820845912,-741.0260729795833,-3.9910301151628587
AUDJPY,EURJPY,9,NO_TRADE,112560,0.09155117270788912,0.062367007365489384,-4497.806283890462,-4497.785400474918,-3.9959188733923794
AUDJPY,EURJPY,12,TREND,1760,0.1380681818181818,0.10006867793688942,-67.7250379577635,-67.68842867471562,-3.8480135203274717
AUDJPY,EURJPY,12,MR,18566,0.0871485511149413,0.059891010865694844,-741.8738495050166,-741.7921614040755,-3.995873368011508
AUDJPY,EURJPY,12,NO_TRADE,112560,0.09327469793887705,0.06279288603151172,-4476.196111455033,-4476.153817245664,-3.9767200705890486
AUDJPY,GBPJPY,8,TREND,1808,0.13219026548672566,0.09159670746873357,-77.44487256785987,-77.38918486202645,-4.283455341142693
AUDJPY,GBPJPY,8,MR,18442,0.0978201930376315,0.06518316331729647,-738.2217845315545,-738.1833910062878,-4.002937775358174
AUDJPY,GBPJPY,8,NO_TRADE,110818,0.10054323304878268,0.0658751763545834,-4444.1539986931975,-4444.193056455418,-4.01031781722572
AUDJPY,GBPJPY,9,TREND,1808,0.14767699115044247,0.10984450065320134,-70.5259441921158,-70.49875029808457,-3.9007712495639275
AUDJPY,GBPJPY,9,MR,18442,0.10101941221125692,0.06879354506384426,-731.51517542587,-731.4812797945144,-3.966571822068485
AUDJPY,GBPJPY,9,NO_TRADE,110817,0.10016513711795122,0.06755050587210785,-4427.324261281321,-4427.290042667826,-3.9951670423141943
AUDJPY,NZDJPY,3,TREND,2195,0.17084282460136674,0.11819525587132752,-89.2484485367152,-89.29526130108952,-4.065988543813905
AUDJPY,NZDJPY,3,MR,19307,0.12363391516030456,0.08217120821160984,-777.5060528115779,-777.4565304832981,-4.027068176369078
AUDJPY,NZDJPY,3,NO_TRADE,111662,0.12760831795955652,0.08559016906750848,-4506.037875945434,-4505.994067026202,-4.0354264440413345
