leader,follower,lag,corr,pval,n
NZDJPY,AUDJPY,2,-0.0028479998676209637,0.2970571921768437,134060.0
NZDJPY,AUDJPY,3,-0.01192626379923231,1.2607722204442259e-05,134059.0
NZDJPY,AUDJPY,4,-0.00020182296930436382,0.9410942240236696,134058.0
NZDJPY,AUDJPY,5,0.0030349392519140343,0.2664828565276429,134057.0
NZDJPY,AUDJPY,6,-0.00076074571488822,0.7806022522924835,134056.0
NZDJPY,AUDJPY,7,0.0017344739536392624,0.5253980488589151,134055.0
NZDJPY,AUDJPY,8,-0.001265285173445725,0.6431782972001634,134054.0
NZDJPY,AUDJPY,9,0.008976464192627319,0.0010140089349719127,134053.0
NZDJPY,AUDJPY,10,0.00101305175295226,0.7107072380443445,134052.0
NZDJPY,AUDJPY,11,0.0010458230916116083,0.7017913235530936,134051.0
NZDJPY,AUDJPY,12,0.008007446922078639,0.0033703263926308756,134050.0
NZDJPY,CHFJPY,1,0.0008393017216280691,0.7490682663123671,145249.0
NZDJPY,CHFJPY,2,-0.009153841506732964,0.00048537258194804826,145248.0
NZDJPY,CHFJPY,3,-0.005869924699836135,0.025279562194032528,145247.0
NZDJPY,CHFJPY,4,-0.0015215840609915402,0.5619897588104231,145246.0
NZDJPY,CHFJPY,5,-0.001745519237719231,0.5059033933167009,145245.0
NZDJPY,CHFJPY,6,-0.0013339658479438522,0.611185390260748,145244.0
NZDJPY,CHFJPY,7,0.0015727099234759075,0.5489282373115427,145243.0
NZDJPY,CHFJPY,8,0.0010140564783509055,0.6991559694868293,145242.0
NZDJPY,CHFJPY,9,0.004618967638906941,0.078355975765507,145241.0
NZDJPY,CHFJPY,10,0.0006362458737764394,0.8084132346685268,145240.0
NZDJPY,CHFJPY,11,-0.0037346194953248976,0.1546593567111418,145239.0
NZDJPY,CHFJPY,12,0.004279029735638376,0.10294601644123438,145238.0
CHFJPY,USDJPY,1,-0.0034885820787899573,0.1842668160640354,144853.0
CHFJPY,USDJPY,2,-0.0005193561683570169,0.8433092953894498,144852.0
CHFJPY,USDJPY,3,-0.0019485209008518515,0.458337215417476,144851.0
CHFJPY,USDJPY,4,0.0013441906592467972,0.6089425006928157,144850.0
CHFJPY,USDJPY,5,0.0037982646587517367,0.14829629067508784,144849.0
CHFJPY,USDJPY,6,0.009917704976057127,0.0001602454307144215,144848.0
CHFJPY,USDJPY,7,0.0010569676508959984,0.6874886187089464,144847.0
CHFJPY,USDJPY,8,0.0022771184495931603,0.3861426144267474,144846.0
CHFJPY,USDJPY,9,0.007957466632347457,0.002457589986169897,144845.0
CHFJPY,USDJPY,10,-0.0019210070437231982,0.4647190192736752,144844.0
CHFJPY,USDJPY,11,-0.0007702802538058667,0.7694054682240875,144843.0
CHFJPY,USDJPY,12,0.0025663186417314863,0.3287248067575876,144842.0
CHFJPY,EURJPY,1,-0.006487750985651526,0.013478913474606351,145046.0
CHFJPY,EURJPY,2,-0.004593250126460255,0.08023518955803773,145045.0
CHFJPY,EURJPY,3,0.003698632904492148,0.1589523547037329,145044.0
CHFJPY,EURJPY,4,-0.0005873959483356659,0.8229868803204947,145043.0
CHFJPY,EURJPY,5,-0.00035116873352908514,0.8936087381219385,145042.0
CHFJPY,EURJPY,6,0.005814412365582224,0.0268030001988753,145041.0
CHFJPY,EURJPY,7,-0.0012431330984763974,0.6359047391737077,145040.0
CHFJPY,EURJPY,8,0.004124392589339366,0.11624625038812608,145039.0
CHFJPY,EURJPY,9,0.006513701227575208,0.013113444473672494,145038.0
CHFJPY,EURJPY,10,0.0008418741237988586,0.7485026937062678,145037.0
CHFJPY,EURJPY,11,-0.0019279933770272165,0.46280035157740207,145036.0
CHFJPY,EURJPY,12,0.0038613261090128196,0.14142112746395896,145035.0
CHFJPY,GBPJPY,1,-0.008716880633978597,0.0009843674337469846,142879.0
CHFJPY,GBPJPY,2,-0.005628219683090318,0.03338515148349792,142878.0
