entry_time,exit_time,direction,entry_price,exit_price,stop_price,pnl_pips,exit_reason,hold_bars
2022-01-19 07:05:00+00:00,2022-01-19 07:10:00+00:00,Short,114.259,114.28,114.28,-2.6,stop,1
2022-01-19 07:15:00+00:00,2022-01-19 07:55:00+00:00,Long,114.3615,114.4235,114.28825,5.7,tp,8
2022-01-19 08:55:00+00:00,2022-01-19 09:15:00+00:00,Long,114.4725,114.483,114.40075,0.55,tp,4
2022-01-19 09:30:00+00:00,2022-01-19 09:45:00+00:00,Long,114.505,114.5075,114.4425,-0.25,tp,3
2022-01-19 10:05:00+00:00,2022-01-19 10:10:00+00:00,Long,114.55,114.50425,114.50425,-5.07,stop,1
2022-01-19 11:30:00+00:00,2022-01-19 12:25:00+00:00,Short,114.443,114.439,114.506,-0.1,tp,11
2022-01-19 13:00:00+00:00,2022-01-19 13:10:00+00:00,Long,114.546,114.473,114.473,-7.8,stop,2
2022-01-19 14:10:00+00:00,2022-01-19 14:25:00+00:00,Long,114.527,114.478,114.478,-5.4,stop,3
2022-01-19 14:45:00+00:00,2022-01-19 15:15:00+00:00,Short,114.372,114.2775,114.48925,8.95,tp,6
2022-01-19 17:10:00+00:00,2022-01-19 18:20:00+00:00,Long,114.334,114.26425,114.26425,-7.48,stop,14
2022-01-19 18:25:00+00:00,2022-01-19 20:00:00+00:00,Short,114.2465,114.2445,114.3015,-0.3,tp,19
2022-01-19 20:30:00+00:00,2022-01-19 20:55:00+00:00,Short,114.229,114.25875,114.25875,-3.47,stop,5
2022-01-19 21:00:00+00:00,2022-01-19 21:40:00+00:00,Long,114.2885,114.2915,114.246,-0.2,tp,8
2022-01-19 21:50:00+00:00,2022-01-19 22:10:00+00:00,Long,114.3195,114.332,114.27475,0.75,tp,4
2022-01-20 00:30:00+00:00,2022-01-20 00:45:00+00:00,Long,114.413,114.36325,114.36325,-5.48,stop,3
2022-01-20 00:50:00+00:00,2022-01-20 01:20:00+00:00,Short,114.3105,114.0515,114.37275,25.4,tp,6
2022-01-20 03:35:00+00:00,2022-01-20 03:50:00+00:00,Long,114.343,114.394,114.3,4.6,tp,3
2022-01-20 04:45:00+00:00,2022-01-20 05:15:00+00:00,Long,114.4265,114.481,114.38475,4.95,tp,6
2022-01-20 06:30:00+00:00,2022-01-20 06:35:00+00:00,Long,114.5165,114.4755,114.4755,-4.6,stop,1
2022-01-20 06:50:00+00:00,2022-01-20 07:10:00+00:00,Short,114.4445,114.4835,114.4835,-4.4,stop,4
2022-01-20 07:30:00+00:00,2022-01-20 07:55:00+00:00,Short,114.4285,114.3965,114.47975,2.7,tp,5
2022-01-20 08:55:00+00:00,2022-01-20 09:25:00+00:00,Short,114.3125,114.2175,114.36,9.0,tp,6
2022-01-20 11:20:00+00:00,2022-01-20 11:55:00+00:00,Long,114.338,114.2805,114.2805,-6.25,stop,7
2022-01-20 12:15:00+00:00,2022-01-20 12:20:00+00:00,Short,114.2715,114.307,114.307,-4.05,stop,1
2022-01-20 12:45:00+00:00,2022-01-20 13:00:00+00:00,Short,114.266,114.2515,114.29725,0.95,tp,3
2022-01-20 13:10:00+00:00,2022-01-20 14:05:00+00:00,Short,114.238,114.0705,114.284,16.25,tp,11
2022-01-20 17:30:00+00:00,2022-01-20 18:10:00+00:00,Long,114.1145,114.1525,114.06625,3.3,tp,8
2022-01-20 18:40:00+00:00,2022-01-20 19:10:00+00:00,Long,114.171,114.178,114.138,0.2,tp,6
2022-01-20 20:25:00+00:00,2022-01-20 20:30:00+00:00,Short,114.1285,114.15575,114.15575,-3.22,stop,1
2022-01-20 21:00:00+00:00,2022-01-20 21:10:00+00:00,Long,114.2025,114.15325,114.15325,-5.42,stop,2
2022-01-20 22:00:00+00:00,2022-01-20 23:25:00+00:00,Short,114.102,113.936,114.16875,16.1,tp,17
2022-01-21 02:10:00+00:00,2022-01-21 02:40:00+00:00,Long,113.9005,113.8075,113.8075,-9.8,stop,6
2022-01-21 04:45:00+00:00,2022-01-21 05:25:00+00:00,Long,113.7815,113.8055,113.71475,1.9,tp,8
2022-01-21 05:35:00+00:00,2022-01-21 05:55:00+00:00,Long,113.844,113.857,113.786,0.8,tp,4
2022-01-24 00:20:00+00:00,2022-01-24 00:45:00+00:00,Long,113.7915,113.803,113.75475,0.65,tp,5
2022-01-24 00:55:00+00:00,2022-01-24 01:10:00+00:00,Long,113.835,113.8485,113.77425,0.85,tp,3
2022-01-24 01:55:00+00:00,2022-01-24 02:00:00+00:00,Long,113.9195,113.863,113.863,-6.15,stop,1
2022-01-24 02:40:00+00:00,2022-01-24 03:05:00+00:00,Short,113.8295,113.826,113.88275,-0.15,tp,5
2022-01-24 04:05:00+00:00,2022-01-24 05:15:00+00:00,Long,113.896,113.947,113.8405,4.6,tp,14
2022-01-24 05:30:00+00:00,2022-01-24 05:45:00+00:00,Long,113.96,113.9175,113.9175,-4.75,stop,3
2022-01-24 06:00:00+00:00,2022-01-24 06:50:00+00:00,Short,113.7965,113.785,113.9115,0.65,tp,10
2022-01-24 07:05:00+00:00,2022-01-24 07:30:00+00:00,Short,113.762,113.761,113.813,-0.4,tp,5
2022-01-24 08:20:00+00:00,2022-01-24 08:55:00+00:00,Short,113.677,113.587,113.75825,8.5,tp,7
2022-01-24 10:20:00+00:00,2022-01-24 10:25:00+00:00,Short,113.5085,113.57,113.57,-6.65,stop,1
2022-01-24 12:00:00+00:00,2022-01-24 13:20:00+00:00,Long,113.821,113.7485,113.7485,-7.75,stop,16
2022-01-24 17:50:00+00:00,2022-01-24 18:10:00+00:00,Short,113.73,113.727,113.7935,-0.2,tp,4
2022-01-24 18:40:00+00:00,2022-01-24 18:45:00+00:00,Short,113.6685,113.721,113.721,-5.75,stop,1
2022-01-24 19:50:00+00:00,2022-01-24 20:05:00+00:00,Long,113.7805,113.8095,113.73,2.4,tp,3
2022-01-25 01:10:00+00:00,2022-01-25 01:25:00+00:00,Short,113.9345,113.923,113.98325,0.65,tp,3
2022-01-25 02:45:00+00:00,2022-01-25 03:05:00+00:00,Short,113.7555,113.809,113.809,-5.85,stop,4
2022-01-25 03:35:00+00:00,2022-01-25 03:40:00+00:00,Short,113.7535,113.7835,113.7835,-3.5,stop,1
2022-01-25 04:05:00+00:00,2022-01-25 04:40:00+00:00,Short,113.6985,113.6905,113.783,0.3,tp,7
2022-01-25 05:35:00+00:00,2022-01-25 06:20:00+00:00,Long,113.803,113.816,113.7155,0.8,tp,9
2022-01-25 06:30:00+00:00,2022-01-25 06:50:00+00:00,Long,113.838,113.875,113.784,3.2,tp,4
2022-01-25 07:15:00+00:00,2022-01-25 07:35:00+00:00,Short,113.799,113.784,113.848,1.0,tp,4
2022-01-25 09:05:00+00:00,2022-01-25 09:30:00+00:00,Long,113.935,114.01,113.88,7.0,tp,5
2022-01-25 10:35:00+00:00,2022-01-25 11:40:00+00:00,Long,114.129,114.0555,114.0555,-7.85,stop,13
