pair,strategy,direction,entry_time,entry_price,partial_exit_time,partial_exit_price,partial_pnl_pct,exit_time,exit_price,exit_reason,pnl_pct
CHFJPY,TREND,SHORT,2026-03-30 00:40:00+00:00,200.09496750793457,,,,2026-03-30 00:45:00+00:00,200.2360383453369,state_change,-0.0705019417326147
CHFJPY,TREND,SHORT,2026-03-31 14:55:00+00:00,197.8754102874756,,,,2026-03-31 15:00:00+00:00,197.96358077087402,state_change,-0.044558585258425154
CHFJPY,TREND,SHORT,2026-03-31 20:55:00+00:00,198.3213202331543,,,,2026-03-31 21:05:00+00:00,198.6777280883789,state_change,-0.17971232483002808
CHFJPY,TREND,LONG,2026-03-31 21:20:00+00:00,198.82975128479004,,,,2026-03-31 21:25:00+00:00,198.6702647125244,state_change,-0.08021262976745103
CHFJPY,MEAN_REVERSION,SHORT,2026-03-31 23:50:00+00:00,198.60826539611816,,,,2026-04-01 00:25:00+00:00,198.80975827331542,state_change,-0.10145241276611205
CHFJPY,MEAN_REVERSION,LONG,2026-04-02 10:00:00+00:00,199.44788636169434,,,,2026-04-02 11:05:00+00:00,199.4171093322754,midline,-0.015431113350150572
CHFJPY,MEAN_REVERSION,LONG,2026-04-02 13:45:00+00:00,199.3598713256836,,,,2026-04-02 14:20:00+00:00,199.2821418243408,state_change,-0.038989542291489876
CHFJPY,TREND,LONG,2026-04-02 18:35:00+00:00,199.8449536743164,,,,2026-04-02 18:40:00+00:00,199.71404700317385,state_change,-0.06550411643412302
CHFJPY,MEAN_REVERSION,LONG,2026-04-06 19:50:00+00:00,200.06200757446288,,,,2026-04-06 20:00:00+00:00,200.0419843322754,midline,-0.010008518074089423
CHFJPY,TREND,SHORT,2026-04-07 21:00:00+00:00,199.6680509552002,,,,2026-04-07 21:05:00+00:00,200.16201841735838,state_change,-0.2473943426577696
CHFJPY,TREND,LONG,2026-04-09 21:00:00+00:00,201.40927709655762,,,,2026-04-09 21:05:00+00:00,201.18074884338378,state_change,-0.11346461119776663
CHFJPY,TREND,SHORT,2026-04-10 14:50:00+00:00,201.92260483703615,2026-04-10 14:55:00+00:00,201.7203286743164,0.050087547870880655,2026-04-10 15:00:00+00:00,201.80935099182128,state_change_after_partial,0.07813142272735663
CHFJPY,TREND,SHORT,2026-04-12 23:00:00+00:00,201.52568106384277,,,,2026-04-12 23:05:00+00:00,201.57030477905272,state_change,-0.022142942266412113
CHFJPY,MEAN_REVERSION,SHORT,2026-04-13 06:55:00+00:00,201.77064243774416,,,,2026-04-13 07:00:00+00:00,202.01540110473633,state_change,-0.1213053911287787
CHFJPY,MEAN_REVERSION,LONG,2026-04-14 21:00:00+00:00,203.17662878723144,,,,2026-04-14 21:10:00+00:00,203.29633821411133,midline,0.05891889613212076
CHFJPY,MEAN_REVERSION,LONG,2026-04-15 00:00:00+00:00,203.30466036987303,,,,2026-04-15 00:50:00+00:00,203.2813418243408,midline,-0.011469754549553457
CHFJPY,TREND,SHORT,2026-04-15 16:20:00+00:00,203.19735899047853,2026-04-15 16:25:00+00:00,203.20463426513672,-0.0017901991183122412,2026-04-15 16:30:00+00:00,203.29765518493653,state_change_after_partial,-0.026469701587317207
CHFJPY,MEAN_REVERSION,LONG,2026-04-16 01:50:00+00:00,203.17162290344237,,,,2026-04-16 02:05:00+00:00,203.16535245361328,midline,-0.003086282296449472
CHFJPY,TREND,SHORT,2026-04-16 07:10:00+00:00,203.17435333862306,,,,2026-04-16 07:15:00+00:00,203.20263496398925,state_change,-0.013919879601664853
CHFJPY,MEAN_REVERSION,LONG,2026-04-22 17:45:00+00:00,203.42968536987306,,,,2026-04-22 20:00:00+00:00,203.28233344726564,midline,-0.07243383498307665
CHFJPY,TREND,SHORT,2026-04-23 17:40:00+00:00,202.986387399292,,,,2026-04-23 17:45:00+00:00,203.04760518493651,state_change,-0.030158566999904934
CHFJPY,TREND,LONG,2026-04-23 21:00:00+00:00,203.32166206054688,,,,2026-04-23 21:05:00+00:00,203.19035660705566,state_change,-0.06458015941859241
CHFJPY,MEAN_REVERSION,SHORT,2026-04-23 23:40:00+00:00,203.14536743774414,,,,2026-04-24 00:40:00+00:00,203.17462948608397,midline,-0.014404487145780465
CHFJPY,TREND,LONG,2026-04-27 12:05:00+00:00,203.13461293945312,,,,2026-04-27 12:10:00+00:00,203.0433828338623,state_change,-0.04491115732109252
CHFJPY,TREND,LONG,2026-04-27 21:00:00+00:00,203.223635256958,,,,2026-04-27 21:05:00+00:00,203.0013990447998,state_change,-0.10935549493404917
CHFJPY,MEAN_REVERSION,SHORT,2026-04-29 00:00:00+00:00,202.1965521118164,,,,2026-04-29 00:15:00+00:00,202.19242319641114,midline,0.0020420305698265473
CHFJPY,MEAN_REVERSION,LONG,2026-04-29 18:10:00+00:00,202.55550238952637,,,,2026-04-29 19:10:00+00:00,202.554482220459,midline,-0.0005036491506515972
CHFJPY,MEAN_REVERSION,SHORT,2026-04-29 20:55:00+00:00,202.72745177001954,,,,2026-04-29 21:00:00+00:00,202.9285780883789,state_change,-0.09921020394787483
