pair,direction,signal_bar,entry_bar,pnl_yen,r_mult,held,session,combo,period,year_week
AUDNZD,long,2022-06-10 00:55:00,2022-06-10 01:00:00,-3964.059196616143,-0.7928118393232285,4,"東京
09-15JST","AUDNZD_東京
09-15JST",IS,2022_23
AUDJPY,short,2022-06-10 00:55:00,2022-06-10 01:00:00,-1206.2476477226396,-0.2412495295445279,5,"東京
09-15JST","AUDJPY_東京
09-15JST",IS,2022_23
AUDNZD,long,2022-06-10 01:00:00,2022-06-10 01:05:00,340.7934893192919,0.06815869786385838,3,"東京
09-15JST","AUDNZD_東京
09-15JST",IS,2022_23
AUDJPY,short,2022-06-10 01:00:00,2022-06-10 01:05:00,-1864.922966678531,-0.3729845933357062,4,"東京
09-15JST","AUDJPY_東京
09-15JST",IS,2022_23
AUDJPY,short,2022-06-10 01:20:00,2022-06-10 01:25:00,-5348.403152218924,-1.069680630443785,1,"東京
09-15JST","AUDJPY_東京
09-15JST",IS,2022_23
AUDNZD,long,2022-06-10 01:20:00,2022-06-10 01:25:00,-3868.686868683576,-0.7737373737367153,3,"東京
09-15JST","AUDNZD_東京
09-15JST",IS,2022_23
AUDNZD,long,2022-06-10 01:35:00,2022-06-10 01:40:00,-4409.90516333072,-0.881981032666144,2,"東京
09-15JST","AUDNZD_東京
09-15JST",IS,2022_23
AUDNZD,long,2022-06-10 01:40:00,2022-06-10 01:45:00,-8198.338525441257,-1.6396677050882513,1,"東京
09-15JST","AUDNZD_東京
09-15JST",IS,2022_23
AUDNZD,long,2022-06-10 01:50:00,2022-06-10 01:55:00,-3967.3340358254127,-0.7934668071650826,3,"東京
09-15JST","AUDNZD_東京
09-15JST",IS,2022_23
USDJPY,short,2022-06-10 05:05:00,2022-06-10 05:10:00,-5128.44036697248,-1.025688073394496,1,"東京
09-15JST","USDJPY_東京
09-15JST",IS,2022_23
CHFJPY,short,2022-06-10 05:05:00,2022-06-10 05:10:00,-6523.244312562346,-1.3046488625124693,1,"東京
09-15JST","CHFJPY_東京
09-15JST",IS,2022_23
USDJPY,short,2022-06-10 05:25:00,2022-06-10 05:30:00,4773.076923078527,0.9546153846157055,5,"東京
09-15JST","USDJPY_東京
09-15JST",IS,2022_23
USDJPY,short,2022-06-10 05:40:00,2022-06-10 05:45:00,1194.903581266264,0.2389807162532528,2,"東京
09-15JST","USDJPY_東京
09-15JST",IS,2022_23
CHFJPY,short,2022-06-10 05:45:00,2022-06-10 05:50:00,-692.3076923077786,-0.1384615384615557,3,"東京
09-15JST","CHFJPY_東京
09-15JST",IS,2022_23
USDJPY,short,2022-06-10 05:45:00,2022-06-10 05:50:00,-2268.85245901564,-0.45377049180312795,3,"東京
09-15JST","USDJPY_東京
09-15JST",IS,2022_23
USDJPY,short,2022-06-10 05:50:00,2022-06-10 05:55:00,-50.27570548097355,-0.01005514109619471,2,"東京
09-15JST","USDJPY_東京
09-15JST",IS,2022_23
