pair,base,quote,session,horizon,group,n,mean,skew,kurt
GBPUSD,GBP,USD,深夜 03-09JST,12,Q10,1383,0.0007739327277305805,2.1467384514914714,37.32801556467704
GBPUSD,GBP,USD,深夜 03-09JST,12,Q10+ac>0,457,0.002628249376733178,2.9744213078952337,45.60420137123379
GBPUSD,GBP,USD,深夜 03-09JST,12,Q10+ac<0,926,-0.00014121058608603508,0.7381392756758415,7.316400923840474
GBPUSD,GBP,USD,深夜 03-09JST,24,全BreakDown,18739,0.0019998303131997775,0.5328334495183207,53.80170658543299
GBPUSD,GBP,USD,深夜 03-09JST,24,Q10,1383,0.003076827876964354,2.182553672457976,34.35110888483762
GBPUSD,GBP,USD,深夜 03-09JST,24,Q10+ac>0,457,0.008500017382017909,4.371303038497439,61.013908133618784
GBPUSD,GBP,USD,深夜 03-09JST,24,Q10+ac<0,926,0.0004003725812737742,0.23171419377221203,3.8696101791069077
AUDUSD,AUD,USD,東京 09-15JST,1,全BreakDown,19994,-8.877850094564348e-05,0.17301527996409724,22.161974567939016
AUDUSD,AUD,USD,東京 09-15JST,1,Q10,2169,0.000837193046551882,-0.6878236324546547,6.670859247007188
AUDUSD,AUD,USD,東京 09-15JST,1,Q10+ac>0,858,0.00178798377271994,-0.7980567895350401,6.109539074023081
AUDUSD,AUD,USD,東京 09-15JST,1,Q10+ac<0,1311,0.00021493641569589875,-0.6110893260136988,7.090578661242592
AUDUSD,AUD,USD,東京 09-15JST,3,全BreakDown,19994,0.0006983654906914964,0.8910442741553124,62.011420052319096
AUDUSD,AUD,USD,東京 09-15JST,3,Q10,2169,0.0031477887444461114,-3.7292738520723496,72.25976581892415
AUDUSD,AUD,USD,東京 09-15JST,3,Q10+ac>0,858,0.006253872875116654,-6.378641861389379,112.09889161379893
AUDUSD,AUD,USD,東京 09-15JST,3,Q10+ac<0,1311,0.0011149739586983416,-0.3609057246117228,4.404587021535138
AUDUSD,AUD,USD,東京 09-15JST,6,全BreakDown,19994,0.0011966880657228042,0.5911232736364002,27.480957498162685
AUDUSD,AUD,USD,東京 09-15JST,6,Q10,2169,0.005791598798574494,-2.2602469203669484,32.00682982796932
AUDUSD,AUD,USD,東京 09-15JST,6,Q10+ac>0,858,0.012212076888674052,-3.590922039073199,43.79944327196114
AUDUSD,AUD,USD,東京 09-15JST,6,Q10+ac<0,1311,0.0015896383094017876,-0.20547966398340511,2.662819068917691
AUDUSD,AUD,USD,東京 09-15JST,12,全BreakDown,19994,0.0030283191048644264,0.3093903587639399,15.939896635991783
AUDUSD,AUD,USD,東京 09-15JST,12,Q10,2169,0.0033219079926234134,-2.1098375956275865,19.497968989585395
AUDUSD,AUD,USD,東京 09-15JST,12,Q10+ac>0,858,0.015275600156267388,-1.7866266481374398,15.768353791094224
AUDUSD,AUD,USD,東京 09-15JST,12,Q10+ac<0,1311,-0.004501332187701933,-2.3721967583284376,22.425536265365807
AUDUSD,AUD,USD,東京 09-15JST,24,全BreakDown,19994,0.004082013880123437,-0.0307906432215977,10.493540529410561
AUDUSD,AUD,USD,東京 09-15JST,24,Q10,2169,0.0031080998476327114,-1.163954976495069,9.346316952548586
AUDUSD,AUD,USD,東京 09-15JST,24,Q10+ac>0,858,0.019217175175516518,-0.7593246341467276,7.4209129448918105
AUDUSD,AUD,USD,東京 09-15JST,24,Q10+ac<0,1311,-0.00743468171706928,-1.4749851879690548,10.750573072582819
AUDUSD,AUD,USD,欧州 15-21JST,1,全BreakDown,20406,0.00012677490902057912,-0.09334840185982982,2.776675706968623
AUDUSD,AUD,USD,欧州 15-21JST,1,Q10,2636,0.0006718127159861872,-0.051477475256398675,2.036200339965733
AUDUSD,AUD,USD,欧州 15-21JST,1,Q10+ac>0,945,-0.0004400877868984374,-0.30048825864376444,0.6786230684170538
AUDUSD,AUD,USD,欧州 15-21JST,1,Q10+ac<0,1691,0.0012931882187809658,0.0622940604785545,2.609441611717898
AUDUSD,AUD,USD,欧州 15-21JST,3,全BreakDown,20406,0.00012055633152501243,-13.759958911579137,880.1186306714746
AUDUSD,AUD,USD,欧州 15-21JST,3,Q10,2636,0.002200346288842893,0.06313862134540325,2.645859215765749
AUDUSD,AUD,USD,欧州 15-21JST,3,Q10+ac>0,945,-0.001409730584598153,-0.4017242429345987,1.89852742700005
AUDUSD,AUD,USD,欧州 15-21JST,3,Q10+ac<0,1691,0.004217804979204683,0.31493601558069406,2.986825560435597
AUDUSD,AUD,USD,欧州 15-21JST,6,全BreakDown,20406,-0.0007411894336144393,-14.848289709753486,621.0405838126976
AUDUSD,AUD,USD,欧州 15-21JST,6,Q10,2636,0.004397908489673763,0.41659078425328144,6.563047755922941
AUDUSD,AUD,USD,欧州 15-21JST,6,Q10+ac>0,945,-0.005433185620149686,-0.3515316407078781,1.4664388801988535
AUDUSD,AUD,USD,欧州 15-21JST,6,Q10+ac<0,1691,0.009891926191497038,0.8187881349537682,9.047748093588067
AUDUSD,AUD,USD,欧州 15-21JST,12,全BreakDown,20406,-0.0028134909042498444,-6.9537008025373295,209.14786861859804
AUDUSD,AUD,USD,欧州 15-21JST,12,Q10,2636,0.002454578232365272,0.12363705858575909,4.178591142062798
AUDUSD,AUD,USD,欧州 15-21JST,12,Q10+ac>0,945,-0.0066881778053045566,-0.42694321280623826,1.51863683748374
AUDUSD,AUD,USD,欧州 15-21JST,12,Q10+ac<0,1691,0.007563924450932978,0.5506100915054073,6.110974267499072
AUDUSD,AUD,USD,欧州 15-21JST,24,全BreakDown,20406,-0.006638381541059843,-3.6719690563760827,77.50685072123973
AUDUSD,AUD,USD,欧州 15-21JST,24,Q10,2636,-0.009893822726057785,0.32309903229701714,10.447127122885682
AUDUSD,AUD,USD,欧州 15-21JST,24,Q10+ac>0,945,-0.021710906976207346,0.1320395903852423,5.910850657638779
AUDUSD,AUD,USD,欧州 15-21JST,24,Q10+ac<0,1691,-0.0032899524620770984,0.4829831405715239,13.968429226377758
AUDUSD,AUD,USD,NY   21-03JST,1,全BreakDown,20555,0.0001695069285865282,1.824973613840805,85.92361255594784
AUDUSD,AUD,USD,NY   21-03JST,1,Q10,4048,0.0003041257069035326,0.23348565907157062,6.627534026985332
AUDUSD,AUD,USD,NY   21-03JST,1,Q10+ac>0,1497,-4.4554839530258565e-05,0.8500656576244171,8.518087373657295
AUDUSD,AUD,USD,NY   21-03JST,1,Q10+ac<0,2551,0.0005087414568099946,-0.13949047111600305,5.484434387505075
AUDUSD,AUD,USD,NY   21-03JST,3,全BreakDown,20555,0.0006892910377789569,0.5738262033677359,27.63761842042624
AUDUSD,AUD,USD,NY   21-03JST,3,Q10,4048,0.0005256487847869618,0.09586460245111053,3.5625334605278276
